AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;CONVENIO_SEP;AÑO_INGRESO_SEP;CLASIFICACION_SEP;EE_GRATUITO;N_PRIO;N_PRIO_BEN;N_PREF;N_PREF_BEN;N_BEN
2022;26032;0;INSTITUTO DE EDUCACIÓN DE ADULTOS LA CASTRINA;13;131;13129;SAN JOAQUÍN;131;SANTIAGO CENTRO;3;2;0;1;0;0;SIN SEP;1;3;0;3;0;0
2022;26033;9;COLEGIO SAN CARLOS DE QUILICURA;13;131;13125;QUILICURA;137;SANTIAGO NORTE;3;2;0;1;1;2021;EMERGENTE;0;565;565;719;0;565
2022;26035;5;ESCUELA PART. SAN JOSE DE LAMPA;13;133;13302;LAMPA;137;SANTIAGO NORTE;3;2;0;1;1;2021;AUTONOMO;1;631;631;353;353;984
2022;26036;3;ESCUELA ESPECIAL N 2086 HOSPITAL CLINICO PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE;13;131;13101;SANTIAGO;131;SANTIAGO CENTRO;3;2;0;1;0;0;SIN SEP;1;3;0;5;0;0
2022;26037;1;COLEGIO LO BARNECHEA;13;131;13115;LO BARNECHEA;133;SANTIAGO ORIENTE;2;1;0;1;1;2021;EMERGENTE;1;745;745;275;275;1020
2022;26043;6;ESCUELA SANTA TERESA DE LOS ANDES;13;134;13402;BUIN;132;SANTIAGO SUR;4;3;0;1;0;0;SIN SEP;0;15;0;35;0;0
2022;26044;4;ESCUELA BAS. Y ESP. LIKAN-RAY DE LA PINTANA;13;131;13112;LA PINTANA;136;CORDILLERA;3;2;0;1;1;2022;EMERGENTE;1;308;235;111;91;326
2022;26045;2;ESCUELA SAN PEDRO VALLE GRANDE;13;133;13302;LAMPA;137;SANTIAGO NORTE;3;2;0;1;1;2019;EMERGENTE;0;443;443;276;0;443
2022;26046;0;COLEGIO MANQUECURA CIUDAD DE LOS VALLES;13;131;13124;PUDAHUEL;134;SANTIAGO PONIENTE;4;3;0;1;0;0;SIN SEP;0;32;0;57;0;0
2022;26047;9;ESCUELA DE PARV. PIN PON;13;131;13106;ESTACIÓN CENTRAL;134;SANTIAGO PONIENTE;3;2;0;1;1;2021;EMERGENTE;1;17;17;10;10;27
2022;26048;7;COLEGIO DE ADULTOS ALFRED NOBEL EL BOSQUE;13;131;13105;EL BOSQUE;132;SANTIAGO SUR;3;2;0;1;0;0;SIN SEP;1;24;0;5;0;0
